128035
128035
Sensor initialized!
1518 , 429 , 0.00 , 0.00
1520 , 428 , 0.00 , 0.00
1531 , 426 , 0.00 , 0.00
1558 , 423 , 0.00 , 0.00
1586 , 421 , 0.00 , 0.00
1612 , 418 , 0.00 , 0.00
1639 , 416 , 0.00 , 0.00
1667 , 414 , 0.00 , 0.00
1693 , 412 , 0.00 , 0.00
1721 , 410 , 0.00 , 0.00
1747 , 408 , 0.00 , 0.00
1775 , 406 , 0.00 , 0.00
1802 , 404 , 0.00 , 0.00
1828 , 402 , 0.00 , 0.00
1856 , 400 , 0.00 , 0.00
1883 , 399 , 0.00 , 0.00
1910 , 397 , 0.00 , 0.00
1937 , 395 , 0.00 , 0.00
1964 , 394 , 0.00 , 0.00
1991 , 392 , 0.00 , 0.00
2018 , 390 , 0.00 , 0.00
2045 , 389 , 0.00 , 0.00
2072 , 387 , 0.00 , 0.00
2099 , 386 , 0.00 , 0.00
2126 , 384 , 0.00 , 0.00
2153 , 382 , 0.00 , 0.00
2181 , 381 , 0.00 , 0.00
2207 , 379 , 0.00 , 0.00
2234 , 378 , 0.00 , 0.00
2262 , 376 , 0.00 , 0.00
2288 , 375 , 0.00 , 0.00
2316 , 373 , 0.03 , 0.00
2342 , 372 , 0.00 , 0.00
2369 , 370 , 0.00 , 0.00
2397 , 369 , 0.00 , 0.00
2423 , 367 , 0.00 , 0.00
2451 , 366 , 0.00 , 0.00
2478 , 364 , 0.00 , 0.00
2504 , 363 , 0.00 , 0.00
2532 , 362 , 0.00 , 0.00
2558 , 360 , 0.00 , 0.00
2586 , 359 , 0.00 , 0.00
2613 , 357 , 0.00 , 0.00
2639 , 356 , 0.00 , 0.00
2667 , 355 , 0.00 , 0.00
2694 , 354 , 0.00 , 0.00
2721 , 352 , 0.00 , 0.00
2748 , 351 , 0.00 , 0.00
2776 , 350 , 0.00 , 0.00
2802 , 349 , 0.00 , 0.00
2829 , 347 , 0.00 , 0.00
2856 , 346 , 0.00 , 0.00
2883 , 345 , 0.00 , 0.00
2911 , 343 , 0.00 , 0.00
2937 , 342 , 0.00 , 0.00
2964 , 341 , 0.00 , 0.00
2992 , 340 , 0.00 , 0.00
3018 , 339 , 0.00 , 0.00
3046 , 337 , 0.00 , 0.00
3073 , 336 , 0.00 , 0.00
3099 , 335 , 0.00 , 0.00
3127 , 334 , 0.00 , 0.00
3153 , 333 , 0.00 , 0.00
3181 , 332 , 0.00 , 0.00
3208 , 331 , 0.00 , 0.00
3234 , 330 , 0.00 , 0.00
3262 , 329 , 0.00 , 0.00
3289 , 328 , 0.00 , 0.00
3316 , 327 , 0.00 , 0.00
3343 , 326 , 0.00 , 0.00
3369 , 325 , 0.00 , 0.00
3397 , 324 , 0.00 , 0.00
3424 , 323 , 0.00 , 0.00
3451 , 322 , 0.00 , 0.00
3478 , 321 , 0.00 , 0.00
3505 , 320 , 0.00 , 0.00
3532 , 319 , 0.00 , 0.00
3559 , 318 , 0.00 , 0.00
3587 , 317 , 0.00 , 0.00
3613 , 316 , 0.00 , 0.00
3641 , 315 , 0.00 , 0.00
3667 , 314 , 0.00 , 0.00
3694 , 313 , 0.00 , 0.00
3722 , 312 , 0.00 , 0.00
3748 , 311 , 0.00 , 0.00
3776 , 310 , 0.00 , 0.00
3803 , 309 , 0.00 , 0.00
3829 , 309 , 0.00 , 0.00
3857 , 308 , 0.00 , 0.00
3884 , 307 , 0.00 , 0.00
3911 , 306 , 0.00 , 0.00
3938 , 305 , 0.00 , 0.00
3964 , 304 , 0.00 , 0.00
3992 , 303 , 0.00 , 0.00
4019 , 303 , 0.00 , 0.00
4046 , 302 , 0.00 , 0.00
4073 , 301 , 0.00 , 0.00
4100 , 300 , 0.00 , 0.00
4127 , 299 , 0.00 , 0.00
4154 , 299 , 0.00 , 0.00
4182 , 298 , 0.00 , 0.00
4208 , 297 , 0.00 , 0.00
4235 , 297 , 0.00 , 0.00
4262 , 296 , 0.00 , 0.00
4289 , 295 , 0.00 , 0.00
4317 , 294 , 0.00 , 0.00
4343 , 293 , 0.00 , 0.00
4370 , 293 , 0.00 , 0.00
