header,,,,,,,
data_begin,,,,,,,
time_ms,desired_flowrate,avgd_flowrate,error,kp,control_effort,current_pos,new_goal_pos
6660,0.3,0,0.3,350,-104,0,-104
7436,0.3,0,0.3,350,-104,-104,-208
8205,0.3,0.07,0.23,350,-79,-208,-287
8905,0.3,0.24,0.06,350,-22,-287,-309
9232,0.3,0.29,0.01,350,-2,-309,-311
9308,0.3,0.3,0,350,0,-311,-311
9359,0.3,0.3,0,350,0,-311,-311
9411,0.3,0.3,0,350,0,-311,-311
9463,0.3,0.3,0,350,0,-311,-311
9515,0.3,0.3,0,350,0,-311,-311
9567,0.3,0.3,0,350,0,-311,-311
9623,0.3,0.3,0,350,0,-311,-311
9680,0.3,0.3,0,350,0,-311,-311
9737,0.3,0.3,0,350,0,-311,-311
9793,0.3,0.3,0,350,0,-311,-311
9849,0.3,0.3,0,350,0,-311,-311
9906,0.3,0.3,0,350,0,-311,-311
9962,0.3,0.3,0,350,0,-311,-311
10018,0.3,0.3,0,350,0,-311,-311
10077,0.3,0.3,0,350,0,-311,-311
10134,0.3,0.3,0,350,0,-311,-311
10191,0.3,0.3,0,350,0,-311,-311
