 pres temp vfr mfr    comp
 +031.42 +025.06 +0.0075 +0.0160    Air
 +031.41 +025.06 +0.0084 +0.0179    Air
 +031.41 +025.06 +0.0092 +0.0197    Air
 +031.40 +025.06 +0.0103 +0.0219    Air
 +031.40 +025.06 +0.0116 +0.0248    Air
 +031.39 +025.06 +0.0128 +0.0273    Air
 +031.38 +025.06 +0.0139 +0.0298    Air
 +031.37 +025.06 +0.0151 +0.0322    Air
 +031.37 +025.06 +0.0161 +0.0342    Air
 +031.36 +025.06 +0.0170 +0.0363    Air
 +031.35 +025.06 +0.0180 +0.0384    Air
 +031.34 +025.06 +0.0187 +0.0398    Air
 +031.33 +025.06 +0.0195 +0.0415    Air
 +031.32 +025.06 +0.0199 +0.0425    Air
 +031.31 +025.06 +0.0204 +0.0434    Air
 +031.30 +025.06 +0.0207 +0.0442    Air
 +031.29 +025.06 +0.0210 +0.0446    Air
 +031.28 +025.06 +0.0211 +0.0449    Air
 +031.28 +025.06 +0.0212 +0.0450    Air
 +031.27 +025.06 +0.0212 +0.0452    Air
 +031.26 +025.06 +0.0213 +0.0453    Air
 +031.25 +025.06 +0.0214 +0.0456    Air
 +031.25 +025.06 +0.0218 +0.0463    Air
 +031.24 +025.06 +0.0224 +0.0476    Air
 +031.23 +025.06 +0.0230 +0.0489    Air
 +031.22 +025.06 +0.0239 +0.0507    Air
 +031.22 +025.06 +0.0249 +0.0528    Air
 +031.21 +025.06 +0.0261 +0.0555    Air
 +031.20 +025.06 +0.0274 +0.0582    Air
 +031.19 +025.06 +0.0291 +0.0618    Air
 +031.18 +025.06 +0.0311 +0.0661    Air
 +031.17 +025.06 +0.0336 +0.0712    Air
 +031.15 +025.06 +0.0360 +0.0764    Air
 +031.14 +025.06 +0.0388 +0.0823    Air
 +031.12 +025.06 +0.0426 +0.0902    Air
 +031.11 +025.06 +0.0462 +0.0977    Air
 +031.09 +025.06 +0.0502 +0.1062    Air
 +031.07 +025.06 +0.0549 +0.1161    Air
 +031.05 +025.06 +0.0590 +0.1246    Air
 +031.04 +025.06 +0.0636 +0.1343    Air
 +031.01 +025.06 +0.0690 +0.1455    Air
 +030.99 +025.06 +0.0740 +0.1560    Air
 +030.97 +025.06 +0.0777 +0.1636    Air
 +030.95 +025.06 +0.0821 +0.1729    Air
 +030.93 +025.06 +0.0862 +0.1814    Air
 +030.91 +025.06 +0.0902 +0.1898    Air
 +030.90 +025.06 +0.0942 +0.1981    Air
 +030.88 +025.06 +0.0980 +0.2061    Air
 +030.86 +025.06 +0.1013 +0.2129    Air
 +030.85 +025.06 +0.1048 +0.2200    Air
 +030.84 +025.06 +0.1080 +0.2266    Air
 +030.83 +025.06 +0.1108 +0.2324    Air
 +030.81 +025.06 +0.1130 +0.2369    Air
 +030.81 +025.06 +0.1148 +0.2407    Air
 +030.80 +025.06 +0.1168 +0.2448    Air
 +030.79 +025.06 +0.1186 +0.2485    Air
 +030.79 +025.06 +0.1198 +0.2511    Air
 +030.79 +025.06 +0.1208 +0.2530    Air
 +030.78 +025.06 +0.1213 +0.2540    Air
 +030.78 +025.06 +0.1215 +0.2545    Air
 +030.78 +025.06 +0.1217 +0.2549    Air
 +030.78 +025.06 +0.1218 +0.2551    Air
 +030.78 +025.06 +0.1220 +0.2554    Air
 +030.78 +025.06 +0.1229 +0.2572    Air
 +030.78 +025.06 +0.1239 +0.2594    Air
 +030.78 +025.06 +0.1258 +0.2635    Air
 +030.77 +025.06 +0.1277 +0.2673    Air
 +030.77 +025.06 +0.1296 +0.2712    Air
 +030.77 +025.06 +0.1310 +0.2742    Air
 +030.77 +025.06 +0.1320 +0.2764    Air
 +030.76 +025.06 +0.1337 +0.2799    Air
 +030.76 +025.06 +0.1371 +0.2870    Air
 +030.75 +025.06 +0.1409 +0.2947    Air
 +030.74 +025.06 +0.1462 +0.3059    Air
 +030.73 +025.06 +0.1516 +0.3170    Air
 +030.72 +025.06 +0.1561 +0.3264    Air
 +030.71 +025.06 +0.1607 +0.3358    Air
 +030.70 +025.06 +0.1650 +0.3450    Air
 +030.69 +025.06 +0.1702 +0.3553    Air
 +030.68 +025.06 +0.1747 +0.3646    Air
 +030.67 +025.06 +0.1784 +0.3723    Air
 +030.66 +025.06 +0.1827 +0.3811    Air
 +030.65 +025.06 +0.1861 +0.3882    Air
 +030.64 +025.06 +0.1904 +0.3968    Air
 +030.63 +025.06 +0.1941 +0.4045    Air
 +030.62 +025.06 +0.1973 +0.4111    Air
 +030.62 +025.06 +0.2003 +0.4173    Air
 +030.61 +025.06 +0.2032 +0.4233    Air
 +030.60 +025.06 +0.2061 +0.4292    Air
 +030.60 +025.06 +0.2084 +0.4340    Air
 +030.59 +025.06 +0.2109 +0.4391    Air
 +030.59 +025.06 +0.2124 +0.4421    Air
 +030.59 +025.06 +0.2134 +0.4441    Air
 +030.59 +025.06 +0.2142 +0.4459    Air
 +030.59 +025.06 +0.2148 +0.4471    Air
 +030.59 +025.06 +0.2150 +0.4475    Air
 +030.59 +025.06 +0.2152 +0.4479    Air
 +030.59 +025.06 +0.2153 +0.4480    Air
 +030.59 +025.06 +0.2154 +0.4482    Air
 +030.59 +025.06 +0.2157 +0.4490    Air
 +030.58 +025.06 +0.2164 +0.4504    Air
 +030.59 +025.06 +0.2175 +0.4527    Air
 +030.59 +025.06 +0.2181 +0.4539    Air
 +030.58 +025.06 +0.2196 +0.4571    Air
 +030.58 +025.06 +0.2216 +0.4612    Air
 +030.58 +025.06 +0.2253 +0.4687    Air
 +030.57 +025.06 +0.2293 +0.4769    Air
 +030.57 +025.06 +0.2319 +0.4823    Air
 +030.56 +025.06 +0.2351 +0.4889    Air
 +030.55 +025.06 +0.2392 +0.4972    Air
 +030.54 +025.06 +0.2445 +0.5081    Air
 +030.54 +025.06 +0.2468 +0.5128    Air
 +030.53 +025.06 +0.2529 +0.5253    Air
 +030.52 +025.06 +0.2580 +0.5356    Air
 +030.51 +025.06 +0.2609 +0.5416    Air
