128035
128035
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
558088 , 240 , 0.00 , 0.00
558117 , 240 , 0.00 , 0.00
558146 , 240 , 0.00 , 0.00
558176 , 240 , 0.00 , 0.00
558204 , 240 , 0.00 , 0.00
558233 , 240 , 0.00 , 0.00
558263 , 240 , 0.00 , 0.00
558291 , 240 , 0.00 , 0.00
558321 , 240 , 0.00 , 0.00
558350 , 240 , 0.00 , 0.00
558380 , 240 , 0.03 , 0.00
558408 , 240 , 0.00 , 0.00
558437 , 240 , 0.00 , 0.00
558467 , 240 , 0.00 , 0.00
558495 , 240 , 0.00 , 0.00
558525 , 240 , 0.00 , 0.00
558554 , 240 , 0.00 , 0.00
558583 , 240 , 0.00 , 0.00
558612 , 240 , 0.00 , 0.00
558642 , 240 , 0.00 , 0.00
558670 , 240 , 0.00 , 0.00
558699 , 240 , 0.00 , 0.00
558729 , 240 , 0.00 , 0.00
558757 , 240 , 0.00 , 0.00
558787 , 240 , 0.00 , 0.00
558816 , 240 , 0.03 , 0.00
558845 , 240 , 0.00 , 0.00
558874 , 240 , 0.00 , 0.00
558903 , 240 , 0.00 , 0.00
558932 , 240 , 0.00 , 0.00
558961 , 240 , 0.00 , 0.00
558991 , 240 , 0.00 , 0.00
559020 , 240 , 0.00 , 0.00
559049 , 240 , 0.00 , 0.00
559078 , 240 , 0.00 , 0.00
559108 , 240 , 0.00 , 0.00
559136 , 240 , 0.00 , 0.00
559165 , 240 , 0.00 , 0.00
559195 , 240 , 0.00 , 0.00
559223 , 240 , 0.00 , 0.00
559253 , 240 , 0.00 , 0.00
559282 , 240 , 0.00 , 0.00
559311 , 240 , 0.00 , 0.00
559340 , 240 , 0.00 , 0.00
559369 , 240 , 0.00 , 0.00
559398 , 240 , 0.00 , 0.00
559427 , 240 , 0.00 , 0.00
559457 , 240 , 0.00 , 0.00
559485 , 240 , 0.00 , 0.00
559515 , 240 , 0.00 , 0.00
559544 , 240 , 0.03 , 0.00
559574 , 240 , 0.00 , 0.00
559602 , 240 , 0.00 , 0.00
559631 , 240 , 0.00 , 0.00
559661 , 240 , 0.00 , 0.00
559689 , 240 , 0.00 , 0.00
559719 , 240 , 0.00 , 0.00
559748 , 240 , 0.00 , 0.00
559777 , 240 , 0.00 , 0.00
559806 , 240 , 0.00 , 0.00
559835 , 240 , 0.00 , 0.00
559864 , 240 , 0.00 , 0.00
559893 , 240 , 0.00 , 0.00
559923 , 240 , 0.00 , 0.00
559951 , 240 , 0.00 , 0.00
559981 , 240 , 0.00 , 0.00
560010 , 240 , 0.00 , 0.00
560039 , 240 , 0.00 , 0.00
560068 , 240 , 0.00 , 0.00
560097 , 240 , 0.00 , 0.00
560126 , 240 , 0.00 , 0.00
560155 , 240 , 0.00 , 0.00
560185 , 240 , 0.00 , 0.00
560214 , 240 , 0.00 , 0.00
560243 , 240 , 0.00 , 0.00
560272 , 240 , 0.00 , 0.00
560302 , 240 , 0.00 , 0.00
560330 , 240 , 0.00 , 0.00
560359 , 240 , 0.00 , 0.00
560389 , 240 , 0.00 , 0.00
560417 , 240 , 0.00 , 0.00
560447 , 240 , 0.00 , 0.00
560476 , 240 , 0.00 , 0.00
560505 , 240 , 0.00 , 0.00
560534 , 240 , 0.00 , 0.00
560563 , 240 , 0.03 , 0.00
560592 , 240 , 0.00 , 0.00
560621 , 240 , 0.00 , 0.00
560651 , 240 , 0.00 , 0.00
560679 , 240 , 0.00 , 0.00
560709 , 240 , 0.00 , 0.00
560738 , 240 , 0.00 , 0.00
560766 , 240 , 0.00 , 0.00
560796 , 240 , 0.00 , 0.00
560825 , 240 , 0.00 , 0.00
560855 , 240 , 0.00 , 0.00
560883 , 240 , 0.00 , 0.00
560913 , 240 , 0.00 , 0.00
560942 , 240 , 0.00 , 0.00
560971 , 240 , 0.00 , 0.00
561000 , 240 , 0.00 , 0.00
561029 , 240 , 0.00 , 0.00
561058 , 240 , 0.00 , 0.00
561087 , 240 , 0.00 , 0.00
