header,,,,,,,
data_begin,,,,,,,
time_ms,desired_flowrate,avgd_flowrate,error,kp,control_effort,current_pos,new_goal_pos
10815,0.5,0,0.5,350,-174,0,-174
11836,0.5,0.03,0.47,350,-164,-174,-338
12820,0.5,0.38,0.12,350,-43,-338,-381
13329,0.5,0.49,0.01,350,-3,-381,-384
13444,0.5,0.49,0.01,350,-2,-384,-386
13519,0.5,0.5,0,350,0,-386,-386
13572,0.5,0.5,0,350,1,-386,-385
13623,0.5,0.51,-0.01,350,1,-385,-384
13675,0.5,0.51,-0.01,350,1,-384,-383
13729,0.5,0.51,-0.01,350,5,-383,-378
13891,0.5,0.5,0,350,1,-378,-377
13943,0.5,0.5,0,350,1,-377,-376
13996,0.5,0.5,0,350,0,-376,-376
