
0.00 , 100.000 , 81.03333 , -0.21000 , 80.82333 , -17271 , -17271

28940.00 , 100.000 , 83.13333 , 9.87500 , 93.00833 , -5687 , -22958
35056.00 , 100.000 , 84.96667 , 14.39000 , 99.35667 , -308 , -23266
36413.00 , 100.000 , 81.26667 , 14.65000 , 95.91667 , -3659 , -26925
41312.00 , 100.000 , 87.03333 , 18.18000 , 105.21333 , 4903 , -22022
46988.00 , 100.000 , 92.50000 , 13.68500 , 106.18500 , 5296 , -16726
52850.00 , 100.000 , 86.33334 , 9.87000 , 96.20334 , -3645 , -20371
57739.00 , 100.000 , 85.10000 , 12.55500 , 97.65500 , -1949 , -22320
61304.00 , 100.000 , 85.86667 , 13.86000 , 99.72667 , -167 , -22487
62320.00 , 100.000 , 85.20000 , 13.72000 , 98.92000 , -980 , -23467
64799.00 , 100.000 , 87.00000 , 14.66500 , 101.66500 , 1555 , -21912
67979.00 , 100.000 , 85.13333 , 13.87000 , 99.00333 , -944 , -22856
70410.00 , 100.000 , 89.86667 , 14.42000 , 104.28667 , 3890 , -18966
75424.00 , 100.000 , 83.36667 , 11.43000 , 94.79667 , -4862 , -23828
81037.00 , 100.000 , 85.83334 , 15.40500 , 101.23833 , 1352 , -22476
83962.00 , 100.000 , 82.56667 , 13.77000 , 96.33667 , -3395 , -25871
88679.00 , 100.000 , 83.80000 , 17.01500 , 100.81500 , 928 , -24943
91089.00 , 100.000 , 83.40000 , 16.56500 , 99.96500 , -58 , -25001
91638.00 , 100.000 , 85.83334 , 16.47500 , 102.30833 , 2072 , -22929
95277.00 , 100.000 , 85.53333 , 14.36000 , 99.89333 , -222 , -23151
96418.00 , 100.000 , 81.06667 , 14.48000 , 95.54666 , -4000 , -27151
101503.00 , 100.000 , 78.80000 , 18.42000 , 97.22000 , -2265 , -29416
105349.00 , 100.000 , 83.16666 , 19.28000 , 102.44666 , 2253 , -27163
109185.00 , 100.000 , 91.56667 , 18.42000 , 109.98666 , 8936 , -18227
116944.00 , 100.000 , 85.83334 , 10.95500 , 96.78834 , -3338 , -21565
121583.00 , 100.000 , 83.83334 , 13.94500 , 97.77834 , -1820 , -23385
124988.00 , 100.000 , 84.40000 , 14.91000 , 99.31000 , -563 , -23948
126886.00 , 100.000 , 78.26667 , 15.37500 , 93.64167 , -5694 , -29642
132967.00 , 100.000 , 82.43333 , 19.76500 , 102.19833 , 2241 , -27401
136793.00 , 100.000 , 79.70000 , 17.86500 , 97.56499 , -2305 , -29706
140673.00 , 100.000 , 83.60000 , 19.77000 , 103.37000 , 3147 , -26559
145213.00 , 100.000 , 85.76667 , 17.09000 , 102.85667 , 2410 , -24149
149143.00 , 100.000 , 85.00000 , 15.28500 , 100.28500 , 148 , -24001
150061.00 , 100.000 , 81.83334 , 14.95500 , 96.78834 , -2910 , -26911
154388.00 , 100.000 , 122.00000 , 17.37500 , 139.37500 , 35582 , 8671
8671
Crash Course detected!...Motor stopped, Please restart program!
Closing Motors to Restart


Motors closed. Returning to Setup.
Code start.
Calibrating....
Big_Motor Calibrated
Small_Motor Calibrated
***
***
***
MAKE SURE ALL VALVES ARE CLOSED!!!!!!
Type 'on' to start the script...























