parallel_all_run_1_mfm
pres,tempc,vlow,mflow,setpoint,comp
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0001,0.0001,0,Air
14.04,25.27,0.0001,0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,-0.0001,-0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0001,0.0001,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.27,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,-0.0001,-0.0001,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,-0.0001,-0.0001,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,-0.0001,-0.0001,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0000,0.0000,0,Air
14.04,25.28,0.0002,0.0002,0,Air
14.04,25.28,0.0001,0.0001,0,Air
14.04,25.28,0.0001,0.0001,0,Air
