128035
128035
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
6023 , 267 , 0.00 , 0.00
6050 , 266 , 0.00 , 0.00
6077 , 266 , 0.00 , 0.00
6105 , 265 , 0.00 , 0.00
6131 , 265 , 0.00 , 0.00
6158 , 264 , 0.00 , 0.00
6185 , 264 , 0.00 , 0.00
6212 , 264 , 0.00 , 0.00
6240 , 264 , 0.03 , 0.00
6266 , 264 , 0.00 , 0.00
6293 , 264 , 0.00 , 0.00
6321 , 264 , 0.00 , 0.00
6347 , 264 , 0.00 , 0.00
6375 , 264 , 0.00 , 0.00
6402 , 264 , 0.00 , 0.00
6428 , 264 , 0.00 , 0.00
6456 , 264 , 0.00 , 0.00
6482 , 264 , 0.00 , 0.00
6510 , 264 , 0.00 , 0.00
6537 , 263 , 0.00 , 0.00
6563 , 263 , 0.03 , 0.00
6591 , 263 , 0.00 , 0.00
6618 , 262 , 0.00 , 0.00
6645 , 262 , 0.00 , 0.00
6672 , 262 , 0.00 , 0.00
6699 , 262 , 0.00 , 0.00
6726 , 261 , 0.00 , 0.00
6753 , 261 , 0.00 , 0.00
6780 , 261 , 0.00 , 0.00
6807 , 260 , 0.03 , 0.00
6835 , 260 , 0.00 , 0.00
6861 , 260 , 0.00 , 0.00
6888 , 259 , 0.00 , 0.00
6916 , 259 , 0.00 , 0.00
6942 , 259 , 0.00 , 0.00
6970 , 258 , 0.00 , 0.00
6996 , 258 , 0.00 , 0.00
7023 , 258 , 0.00 , 0.00
7051 , 257 , 0.00 , 0.00
7077 , 257 , 0.00 , 0.00
7105 , 256 , 0.00 , 0.00
7132 , 256 , 0.00 , 0.00
7158 , 256 , 0.00 , 0.00
7186 , 256 , 0.00 , 0.00
7213 , 256 , 0.00 , 0.00
7240 , 255 , 0.00 , 0.00
7267 , 255 , 0.00 , 0.00
7293 , 255 , 0.00 , 0.00
7321 , 255 , 0.00 , 0.00
7348 , 254 , 0.00 , 0.00
7375 , 254 , 0.00 , 0.00
7402 , 254 , 0.00 , 0.00
7429 , 254 , 0.00 , 0.00
7456 , 254 , 0.00 , 0.00
7483 , 253 , 0.00 , 0.00
7511 , 253 , 0.00 , 0.00
7537 , 253 , 0.00 , 0.00
7564 , 253 , 0.00 , 0.00
7591 , 253 , 0.00 , 0.00
7618 , 252 , 0.00 , 0.00
7646 , 252 , 0.00 , 0.00
7672 , 252 , 0.00 , 0.00
7700 , 252 , 0.00 , 0.00
7727 , 252 , 0.00 , 0.00
7753 , 251 , 0.03 , 0.00
7781 , 251 , 0.00 , 0.00
7808 , 251 , 0.00 , 0.00
7835 , 251 , 0.00 , 0.00
7862 , 251 , 0.00 , 0.00
7888 , 250 , 0.00 , 0.00
7916 , 250 , 0.00 , 0.00
7943 , 250 , 0.00 , 0.00
7970 , 250 , 0.00 , 0.00
7997 , 250 , 0.00 , 0.00
8024 , 249 , 0.00 , 0.00
8051 , 249 , 0.00 , 0.00
8078 , 249 , 0.00 , 0.00
8105 , 249 , 0.00 , 0.00
8132 , 249 , 0.00 , 0.00
8159 , 248 , 0.00 , 0.00
8186 , 248 , 0.00 , 0.00
8213 , 248 , 0.00 , 0.00
8241 , 248 , 0.00 , 0.00
8267 , 248 , 0.00 , 0.00
8294 , 248 , 0.00 , 0.00
8322 , 247 , 0.00 , 0.00
8348 , 247 , 0.00 , 0.00
8376 , 247 , 0.00 , 0.00
8402 , 247 , 0.00 , 0.00
8429 , 247 , 0.00 , 0.00
8457 , 246 , 0.00 , 0.00
8483 , 246 , 0.03 , 0.00
8511 , 246 , 0.00 , 0.00
8538 , 246 , 0.00 , 0.00
8565 , 246 , 0.00 , 0.00
8592 , 246 , 0.00 , 0.00
8619 , 245 , 0.00 , 0.00
8646 , 245 , 0.00 , 0.00
8673 , 245 , 0.00 , 0.00
8700 , 245 , 0.00 , 0.00
8727 , 245 , 0.00 , 0.00
8754 , 245 , 0.00 , 0.00
8781 , 245 , 0.00 , 0.00
8808 , 245 , 0.00 , 0.00
8836 , 244 , 0.00 , 0.00
8862 , 245 , 0.00 , 0.00
8889 , 244 , 0.00 , 0.00
8916 , 244 , 0.00 , 0.00
8943 , 244 , 0.00 , 0.00
8971 , 244 , 0.00 , 0.00
8997 , 244 , 0.00 , 0.00
9024 , 244 , 0.00 , 0.00
9052 , 243 , 0.00 , 0.00
9078 , 243 , 0.00 , 0.00
9106 , 243 , 0.00 , 0.00
9133 , 243 , 0.00 , 0.00
9159 , 243 , 0.00 , 0.00
9187 , 242 , 0.00 , 0.00
9213 , 242 , 0.00 , 0.00
9241 , 242 , 0.00 , 0.00
9268 , 242 , 0.00 , 0.00
9294 , 242 , 0.00 , 0.00
9322 , 242 , 0.00 , 0.00
9349 , 242 , 0.00 , 0.00
9376 , 241 , 0.00 , 0.00
9403 , 241 , 0.00 , 0.00
9431 , 241 , 0.00 , 0.00
9457 , 241 , 0.00 , 0.00
9484 , 241 , 0.00 , 0.00
9511 , 241 , 0.00 , 0.00
9538 , 240 , 0.00 , 0.00
9566 , 240 , 0.00 , 0.00
9592 , 240 , 0.00 , 0.00
9619 , 240 , 0.00 , 0.00
9647 , 240 , 0.00 , 0.00
9673 , 239 , 0.00 , 0.00
9701 , 240 , 0.00 , 0.00
9728 , 240 , 0.00 , 0.00
