=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.18 11:55:40 =~=~=~=~=~=~=~=~=~=~=~=
13472,1848,530,125,6
14352,1848,530,125,6
15301,1836,530,132,6
16181,1836,530,132,6
17060,1836,530,132,6
18011,1887,538,139,7
18890,1887,538,139,7
19770,1887,538,139,7
20719,1818,519,134,6
21599,1818,519,134,6
22437,1818,519,134,6
23388,1821,517,130,3
24267,1821,517,130,3
25106,1821,517,130,3
26055,1911,546,134,3
26936,1911,546,134,3
27773,1911,546,134,3
28724,1878,538,134,4
29603,1878,538,134,4
30442,1878,538,134,4
31392,1842,516,134,5
32272,1842,516,134,5
33152,1842,516,134,5
34060,1758,491,129,4
34939,1758,491,129,4
35819,1758,491,129,4
36769,1815,511,136,5
37608,1815,511,136,5
38488,1815,511,136,5
39438,1809,511,136,5
40276,1809,511,136,5
41156,1809,511,136,5
42106,1824,511,136,5
42945,1824,511,136,5
43825,1824,511,136,5
44775,1860,525,125,4
45614,1860,525,125,4
46493,1860,525,125,4
47443,1845,514,128,5
48281,1845,514,128,5
49162,1845,514,128,5
50112,1878,524,135,6
50992,1878,524,135,6
51871,1878,524,135,6
52822,1830,497,128,6
53701,1830,497,128,6
54581,1830,497,128,6
55531,1773,478,123,6
56370,1773,478,123,6
57249,1773,478,123,6
58200,1824,502,120,5
59079,1824,502,120,5
59960,1824,502,120,5
60909,1896,516,127,6
61790,1896,516,127,6
62669,1896,516,127,6
63620,1872,517,134,8
64499,1872,517,134,8
65379,1872,517,134,8
66329,1800,499,129,9
67209,1800,499,129,9
68088,1800,499,129,9
69039,1812,501,120,8
69918,1812,501,120,8
70799,1812,501,120,8
71748,1776,491,125,9
72629,1776,491,125,9
73508,1776,491,125,9
74459,1749,481,120,8
75338,1749,481,120,8
76218,1749,481,120,8
77168,1650,459,115,7
78048,1650,459,115,7
78927,1650,459,115,7
79878,1599,448,115,10
80757,1599,448,115,10
81638,1599,448,115,10
82587,1551,437,110,10
83468,1551,437,110,10
84347,1551,437,110,10
85298,1452,411,105,10
86136,1452,411,105,10
86974,1452,411,105,10
87884,1662,477,134,19
88835,1848,529,164,26
89786,2055,599,188,33
90735,2148,629,207,38
91685,2133,627,211,40
92595,2238,655,220,41
93545,2265,660,223,41
94495,2331,688,230,38
95446,2394,709,246,37
96395,2484,737,261,38
97346,2379,713,244,29
98296,2193,661,205,19
99247,2235,657,198,14
100197,2256,665,219,21
101147,2349,689,229,23
102096,2433,704,232,22
102977,2433,704,232,22
103857,2433,704,232,22
104807,2406,697,224,23
105646,2406,697,224,23
106525,2406,697,224,23
107474,2304,662,213,23
108355,2304,662,213,23
109235,2304,662,213,23
110184,2259,652,202,23
111065,2259,652,202,23
111944,2259,652,202,23
112894,2211,636,195,22
113774,2211,636,195,22
114654,2211,636,195,22
115604,2064,589,174,21
116484,2064,589,174,21
117363,2064,589,174,21
118313,2073,588,169,22
119193,2073,588,169,22
120073,2073,588,169,22
121023,1788,512,148,19
121903,1788,512,148,19
122782,1788,512,148,19
123732,1668,476,117,7
124612,1668,476,117,7
125492,1668,476,117,7
126442,1527,436,100,2
127322,1527,436,100,2
128202,1527,436,100,2
129152,1317,388,84,3
130032,1317,388,84,3
130912,1317,388,84,3
131862,1323,388,89,2
132742,1323,388,89,2
133621,1323,388,89,2
134572,1311,385,89,3
135451,1311,385,89,3
136332,1311,385,89,3
137281,1293,376,94,6
138162,1293,376,94,6
139041,1293,376,94,6
139992,1257,357,89,9
140871,1257,357,89,9
141751,1257,357,89,9
142701,1233,340,89,12
143581,1233,340,89,12
144460,1233,340,89,12
145411,1170,326,89,11
146290,1170,326,89,11
147171,1170,326,89,11
148120,1221,343,91,12
149001,1221,343,91,12
149880,1221,343,91,12
150831,1185,331,86,13
151710,1185,331,86,13
152590,1185,331,86,13
153540,1227,347,93,13
154420,1227,347,93,13
155300,1227,347,93,13
156250,1218,347,93,15
157130,1218,347,93,15
158010,1218,347,93,15
158960,1212,347,93,15
159840,1212,347,93,15
160719,1212,347,93,15
161670,1254,361,98,20
162549,1254,361,98,20
163430,1254,361,98,20
164379,1293,366,104,18
165260,1293,366,104,18
166139,1293,366,104,18
167090,1356,396,106,15
167969,1356,396,106,15
168849,1356,396,106,15
169799,1380,401,108,12
170679,1380,401,108,12
171559,1380,401,108,12
172509,1428,409,110,12
173389,1428,409,110,12
174269,1428,409,110,12
175219,1395,400,112,11
176099,1395,400,112,11
176978,1395,400,112,11
177929,1425,403,119,10
178808,1425,403,119,10
179689,1425,403,119,10
180639,1401,384,107,10
181519,1401,384,107,10
182398,1401,384,107,10
183349,1458,391,109,8
184228,1458,391,109,8
185109,1458,391,109,8
186058,1467,396,114,9
186939,1467,396,114,9
187819,1467,396,114,9
188769,1503,408,114,3
189648,1503,408,114,3
190528,1503,408,114,3
191478,1419,391,96,2
192358,1419,391,96,2
193238,1419,391,96,2
194188,1350,368,91,2
195067,1350,368,91,2
19
