time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
-0.09,807,787,20,50,260,0.0
9.92,808,783,25,50,257,0.0
19.92,811,787,24,48,260,0.0
29.9,807,783,24,50,257,0.0
39.92,815,784,31,51,261,0.0
49.92,810,789,21,49,260,0.0
60.83,802,782,20,50,256,0.0
69.9,812,788,24,50,260,0.0
79.9,809,788,21,51,259,0.0
89.9,811,787,24,50,259,0.0333
99.9,806,783,23,50,258,0.0
109.9,807,784,23,47,256,0.0
119.91,808,787,21,50,260,0.0
129.9,806,786,20,51,258,0.0
139.91,808,784,24,51,258,0.0
149.92,811,788,23,48,259,0.0
159.91,804,780,24,49,257,0.0
169.9,808,785,23,49,258,0.0
179.92,810,788,22,49,259,0.0
189.9,807,784,23,52,259,0.0
199.9,807,784,23,51,260,0.0
209.91,811,787,24,49,260,0.0
219.9,810,794,16,50,260,0.0
229.9,805,784,21,49,258,0.0
239.9,809,783,26,49,258,0.0
249.91,810,787,23,50,260,0.0
259.9,810,788,22,50,259,0.0
269.9,807,784,23,49,257,0.0
279.91,810,788,22,49,259,0.0
289.9,811,786,25,49,260,0.0
299.9,807,785,22,49,257,0.0
309.92,806,783,23,48,260,0.0
319.9,812,787,25,49,259,0.0
329.91,807,782,25,49,259,0.0
339.9,804,783,21,49,259,0.0
349.91,811,788,23,52,260,0.0
359.9,812,786,26,49,261,0.0
369.9,805,783,22,51,259,0.0
379.9,811,786,25,50,261,0.0
389.9,809,787,22,50,261,0.0
399.9,806,781,25,50,259,0.0
