time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
-5.45,811,786,25,52,260,0.0
4.55,811,787,24,51,259,0.0
14.55,816,787,29,49,260,0.0
24.54,808,784,24,50,257,0.0333
34.54,811,788,23,48,260,0.0
44.54,810,788,22,51,260,0.0
54.54,805,783,22,49,258,0.0
64.56,810,787,23,50,261,0.0
74.55,811,786,25,49,260,0.0
84.54,807,783,24,49,258,0.0
94.57,809,788,21,49,259,0.0
104.54,810,783,27,50,258,0.0
114.54,811,786,25,50,259,0.0
124.58,805,783,22,50,259,0.0
134.55,811,786,25,50,260,0.0
144.54,810,787,23,49,260,0.0
154.55,807,782,25,51,259,0.0
164.54,810,788,22,49,260,0.0
174.55,811,787,24,50,260,0.0
184.57,805,783,22,51,258,0.0
194.56,805,787,18,49,260,0.0
204.54,810,788,22,49,260,0.0
214.55,807,782,25,49,259,0.0
224.55,811,788,23,50,260,0.0
234.54,810,787,23,49,259,0.0
244.56,807,783,24,49,258,0.0
254.58,807,782,25,50,259,0.0
264.54,808,788,20,50,259,0.0
274.55,804,783,21,49,258,0.0
284.56,810,783,27,51,257,0.0
294.56,810,787,23,50,260,0.0
304.54,810,786,24,49,260,0.0
314.55,805,782,23,50,259,-0.0333
324.54,810,786,24,49,260,0.0
334.54,810,788,22,50,259,0.0
344.55,806,782,24,50,259,0.0
354.55,810,788,22,49,260,0.0
364.54,810,787,23,51,260,0.0
374.56,807,782,25,51,257,0.0
384.54,811,788,23,49,260,0.0
394.55,810,788,22,49,259,0.0
404.55,806,783,23,50,257,0.0
414.55,805,783,22,49,258,0.0
424.54,810,787,23,49,260,0.0
434.54,805,782,23,48,259,0.0
444.55,808,778,30,47,255,0.0
454.55,809,789,20,49,260,0.0
464.54,810,782,28,51,260,0.0
474.57,804,783,21,50,258,0.0
484.54,811,787,24,50,259,0.0
494.55,811,787,24,50,260,0.0
504.55,808,783,25,50,258,0.0
514.56,809,789,20,49,259,0.0
524.54,810,786,24,51,259,0.0
534.54,806,783,23,50,257,0.0
544.54,810,788,22,50,260,0.0
554.54,811,789,22,49,259,0.0
564.54,807,784,23,49,259,0.0
574.54,806,784,22,49,258,0.0
584.55,809,789,20,49,260,0.0
594.54,806,782,24,50,258,0.0
604.58,806,781,25,49,258,0.0
614.56,809,788,21,50,260,0.0
624.54,810,787,23,50,260,0.0
634.56,807,782,25,49,257,0.0
644.54,816,787,29,49,259,0.0
654.54,810,788,22,48,259,0.0
664.55,805,781,24,50,258,0.0
674.54,811,787,24,51,259,0.0
684.54,809,787,22,50,259,0.0
694.54,806,782,24,50,258,0.0
704.54,811,787,24,50,260,0.0
714.54,811,788,23,51,260,0.0
724.55,805,783,22,49,257,0.0
734.54,807,783,24,50,257,0.0
744.54,811,788,23,49,260,0.0
754.55,805,783,22,49,258,0.0
764.55,807,784,23,49,258,0.0
774.56,810,787,23,49,260,0.0
784.55,810,787,23,49,259,0.0
794.57,804,783,21,49,258,0.0
804.55,809,787,22,50,260,0.0
