time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
86.11,804,773,31,43,250,0.0
96.12,806,775,31,44,250,0.0
106.13,816,777,39,45,251,0.0
116.11,809,778,31,44,250,0.0
126.11,806,774,32,45,250,0.0
136.1,806,773,33,45,249,0.0
146.1,810,778,32,44,252,0.0
156.13,806,774,32,45,250,0.0
166.13,803,774,29,43,250,0.0
176.12,809,778,31,44,252,0.0
186.11,805,773,32,44,249,0.0
196.14,806,774,32,46,250,0.0
206.1,809,778,31,45,251,0.0
216.11,805,773,32,45,250,0.0
226.14,807,774,33,44,249,0.0
236.11,812,778,34,44,251,0.0
246.12,805,774,31,44,250,0.0
256.11,805,774,31,43,250,0.0
266.12,810,778,32,44,251,0.0
276.11,805,773,32,44,249,0.0
286.11,808,774,34,45,252,0.0
296.11,805,772,33,45,249,0.0
306.12,803,771,32,43,249,0.0
316.1,806,774,32,45,250,0.0
326.15,806,775,31,45,249,0.0
336.11,811,778,33,44,251,0.0
346.13,805,773,32,44,250,0.0
356.1,805,773,32,44,250,0.0
366.11,809,778,31,44,251,0.0
376.12,806,775,31,44,249,0.0
386.12,808,774,34,45,250,-0.0333
396.1,810,777,33,45,251,0.0
406.12,805,774,31,44,249,0.0
416.11,807,775,32,44,250,0.0
426.1,805,773,32,45,250,0.0
436.11,803,773,30,45,250,0.0
446.11,806,775,31,45,251,0.0
456.1,805,774,31,45,250,0.0
466.11,805,776,29,44,251,0.0
476.12,806,773,33,45,249,0.0
486.12,805,773,32,44,249,0.0
496.1,810,778,32,44,251,0.0
506.12,805,773,32,43,250,0.0
516.1,807,774,33,45,250,0.0
526.1,802,774,28,43,249,0.0
536.1,803,771,32,44,249,0.0
546.11,806,774,32,45,251,0.0
556.12,805,774,31,44,250,0.0
566.1,805,773,32,44,250,0.0
576.12,806,774,32,44,250,0.0
586.11,805,773,32,43,250,0.0
596.13,809,778,31,44,251,0.0
606.1,804,773,31,44,250,0.0
616.12,807,775,32,45,250,0.0
626.13,806,773,33,45,250,0.0
636.12,807,773,34,44,249,-0.0333
646.1,805,774,31,44,250,0.0
656.1,805,774,31,45,250,0.0
666.12,804,772,32,44,249,0.0
676.12,805,773,32,44,250,0.0
686.1,805,773,32,44,249,0.0
696.13,811,778,33,45,251,0.0
706.1,804,773,31,44,250,0.0
716.14,808,775,33,46,248,0.0
726.11,805,772,33,45,249,0.0
736.12,806,767,39,43,248,0.0
746.1,806,775,31,44,250,0.0
756.12,806,772,34,46,250,0.0
766.12,804,773,31,44,249,0.0
776.1,805,773,32,45,249,0.0
786.13,805,771,34,44,249,-0.0333
796.13,810,776,34,44,251,0.0
806.12,804,772,32,44,249,0.0
816.11,807,775,32,45,249,0.0
826.13,800,773,27,44,250,0.0
836.1,804,772,32,45,250,0.0
846.12,806,774,32,45,250,0.0
856.11,806,773,33,45,249,0.0
866.11,804,774,30,44,250,0.0
876.12,805,772,33,44,249,0.0
886.1,806,772,34,44,250,0.0
896.13,806,773,33,44,250,0.0
906.12,804,772,32,43,250,0.0
916.11,805,773,32,45,249,0.0
926.1,807,772,35,44,249,0.0
936.11,804,773,31,45,248,0.0
946.11,806,773,33,44,250,0.0
956.13,804,772,32,44,250,0.0
966.11,809,778,31,44,251,0.0
976.1,804,773,31,44,249,0.0
986.15,806,774,32,45,250,0.0
996.1,804,775,29,45,250,0.0
1006.11,804,774,30,45,249,0.0
1016.11,806,774,32,45,250,0.0
1026.11,806,773,33,45,249,0.0
1036.1,806,774,32,44,250,0.0
1046.13,805,774,31,44,249,0.0
1056.1,804,773,31,45,250,0.0
1066.1,809,777,32,44,250,0.0
1076.12,805,772,33,44,250,0.0
1086.11,806,774,32,45,249,0.0
1096.13,812,774,38,44,250,0.0
1106.1,806,772,34,45,250,0.0
1116.13,805,774,31,45,250,0.0
1126.1,806,773,33,45,249,0.0
1136.12,803,774,29,44,249,0.0
1146.13,805,773,32,44,250,0.0
1156.1,805,772,33,44,250,0.0
1166.12,810,778,32,45,251,0.0
1176.1,804,772,32,45,250,0.0
1186.15,804,772,32,45,250,0.0
1196.14,805,772,33,44,250,0.0
1206.12,804,772,32,44,249,0.0
1216.1,805,774,31,44,250,0.0
1226.1,807,774,33,45,250,0.0
1236.12,807,776,31,44,249,-0.0333
1246.11,805,775,30,45,249,0.0
1256.1,804,773,31,43,250,0.0
1266.13,810,778,32,44,251,0.0
1276.11,803,765,38,45,249,0.0
1286.13,806,771,35,45,249,0.0
1296.1,803,772,31,45,249,0.0
1306.11,803,772,31,45,250,0.0
1316.1,806,774,32,45,250,0.0
1326.14,803,773,30,45,249,0.0
1336.1,803,772,31,44,249,0.0
1346.11,805,774,31,45,250,0.0
1356.11,804,773,31,44,250,0.0
1366.12,810,775,35,44,250,0.0
1376.11,804,772,32,44,249,0.0
1386.13,806,774,32,44,250,0.0
1396.13,805,771,34,45,249,0.0
1406.1,804,772,32,44,250,0.0
1416.11,807,773,34,44,250,0.0
1426.1,807,773,34,44,250,0.0
1436.11,804,772,32,44,249,0.0
1446.1,805,772,33,45,249,-0.0333
1456.11,804,767,37,45,249,0.0
1466.13,809,778,31,45,251,0.0
1476.11,805,772,33,43,249,0.0
1486.11,806,775,31,45,250,0.0
1496.11,806,773,33,44,250,0.0
1506.12,804,772,32,45,250,0.0
1516.1,806,774,32,43,250,0.0
1526.11,801,773,28,42,249,0.0
1536.12,804,772,32,44,249,0.0
1546.1,803,772,31,45,249,0.0
1556.13,804,772,32,44,250,0.0
1566.1,807,774,33,44,250,0.0
1576.1,804,774,30,44,249,-0.0333
1586.11,806,774,32,45,250,0.0
1596.13,806,774,32,44,250,0.0
1606.1,805,773,32,43,250,0.0
1616.13,806,780,26,44,250,0.0
1626.1,804,772,32,44,250,0.0
1636.1,804,778,26,43,251,0.0
1646.1,802,770,32,45,250,0.0
1656.11,804,773,31,44,249,0.0
1666.13,805,772,33,45,249,0.0
1676.1,805,772,33,45,250,0.0
1686.11,806,773,33,46,250,0.0
1696.1,805,773,32,45,250,0.0
1706.11,803,772,31,44,250,0.0
1716.1,805,772,33,43,250,0.0
1726.12,804,767,37,43,248,0.0
1736.1,809,778,31,43,251,0.0
1746.12,805,773,32,44,249,0.0
1756.15,805,773,32,43,249,0.0
1766.12,805,771,34,46,249,0.0
1776.11,805,772,33,44,249,0.0
1786.12,806,772,34,45,250,0.0
1796.11,800,774,26,46,249,0.0
1806.11,805,772,33,44,250,0.0
1816.1,806,776,30,44,247,0.0
1826.11,805,773,32,44,250,0.0
1836.12,809,778,31,45,251,0.0
1846.1,803,772,31,45,249,0.0
1856.11,806,774,32,46,250,0.0
1866.11,804,772,32,46,249,0.0
1876.11,805,773,32,45,249,0.0
1886.13,806,774,32,43,253,0.0
1896.12,803,773,30,45,250,0.5
1906.12,803,768,35,55,251,9.9
1916.11,805,773,32,80,250,22.5333
1926.12,806,773,33,99,250,27.4667
1936.13,809,777,32,134,251,35.0
1946.12,805,772,33,176,249,42.9333
1956.11,806,773,33,219,250,50.6
1966.11,807,772,35,260,249,55.3667
1976.11,806,772,34,297,250,59.7
1986.12,806,773,33,321,250,62.8
1996.13,806,772,34,321,249,64.7667
2006.11,804,772,32,341,250,66.6333
2016.11,805,772,33,357,250,67.4
2026.11,805,773,32,357,249,69.2
2036.13,805,773,32,364,250,72.5667
2046.1,806,772,34,381,250,71.3
2056.11,805,772,33,359,250,71.5333
2066.11,806,774,32,374,250,69.5333
2076.12,803,773,30,376,250,71.7
2086.13,806,772,34,385,248,72.4333
2096.12,805,774,31,372,250,70.4
2106.11,810,779,31,356,252,73.3333
2116.11,807,775,32,376,249,72.2667
2126.11,805,774,31,385,250,73.7333
2136.13,804,773,31,370,250,69.7
2146.11,804,773,31,388,251,72.0
2156.13,806,774,32,393,249,72.5333
2166.13,806,774,32,364,250,70.7667
2176.11,802,768,34,381,252,72.3667
2186.13,806,774,32,371,250,73.4333
2196.11,806,774,32,377,250,72.2
2206.11,810,778,32,379,252,71.1667
2216.1,807,775,32,361,250,71.2667
2226.11,807,775,32,384,250,71.9333
2236.13,806,773,33,377,250,72.1
2246.11,805,773,32,384,250,74.3667
2256.14,805,775,30,386,251,72.4333
2266.11,814,775,39,381,250,73.4667
2276.12,805,772,33,380,250,73.3
2286.1,806,774,32,375,250,72.8333
2296.11,806,774,32,380,251,69.6667
2306.13,807,776,31,380,250,71.9
2316.1,805,773,32,383,249,74.4667
2326.11,808,775,33,388,250,71.5333
2336.12,801,774,27,389,250,73.0
2346.1,805,774,31,386,250,71.1
2356.12,803,776,27,368,250,71.4
2366.13,806,774,32,382,250,70.6
2376.11,804,772,32,380,250,73.1667
2386.11,806,773,33,386,251,71.9333
2396.11,806,774,32,390,250,73.0
2406.11,806,775,31,377,251,71.9333
2416.11,805,773,32,374,250,73.0333
2426.13,805,774,31,380,248,70.9667
2436.13,806,774,32,385,250,73.3667
2446.1,804,772,32,386,250,70.3667
2456.11,806,774,32,385,251,71.3667
2466.12,805,773,32,378,249,71.5667
2476.11,812,779,33,375,252,72.0
2486.1,805,774,31,388,250,72.0333
2496.11,808,775,33,381,251,71.0
2506.11,806,772,34,380,250,72.2
2516.1,805,773,32,372,250,72.3667
2526.1,805,775,30,387,251,71.0667
2536.11,806,775,31,374,250,71.7333
2546.12,805,773,32,372,251,75.9667
2556.1,805,774,31,391,250,72.5667
2566.11,804,774,30,383,249,71.2333
2576.11,811,778,33,392,252,71.9667
2586.1,804,773,31,385,250,70.5
2596.12,806,774,32,400,250,72.6333
2606.14,804,771,33,386,251,74.3667
2616.11,807,774,33,381,250,72.0667
2626.14,806,775,31,377,251,71.5333
2636.13,805,773,32,381,250,74.7333
2646.11,804,773,31,398,250,73.8667
2656.11,805,774,31,381,250,72.3667
2666.11,805,774,31,384,250,73.1333
2676.11,807,772,35,387,250,72.5667
2686.12,805,773,32,383,250,71.5
2696.11,806,775,31,373,250,75.2333
2706.13,807,775,32,359,250,73.7333
2716.12,805,771,34,370,248,70.7667
2726.11,806,775,31,379,250,73.9
2736.11,806,774,32,370,251,72.1667
2746.1,811,779,32,395,252,71.6333
2756.11,804,774,30,379,250,72.7333
2766.12,807,774,33,384,250,73.7333
2776.11,807,772,35,380,250,73.6
2786.12,805,773,32,395,250,70.9667
2796.14,807,775,32,383,251,72.6
2806.11,807,773,34,389,249,72.2667
2816.11,804,772,32,371,249,73.7667
2826.11,805,771,34,374,249,69.1333
2836.14,806,773,33,376,250,72.9333
2846.11,807,774,33,380,251,72.5667
2856.12,805,774,31,389,250,74.1
2866.12,806,776,30,384,250,72.1667
2876.11,808,774,34,375,250,72.7333
2886.1,807,774,33,383,251,74.5
2896.11,804,768,36,394,249,70.9333
2906.12,804,773,31,392,250,72.0667
2916.11,805,772,33,371,250,73.0333
2926.11,803,770,33,387,250,73.6667
2936.14,804,773,31,375,250,72.9667
2946.13,805,772,33,378,249,76.3
2956.12,804,772,32,388,250,69.4
2966.13,806,774,32,380,250,73.0667
2976.11,805,773,32,379,249,72.9667
2986.12,804,778,26,394,250,73.1667
2996.13,805,772,33,373,250,72.0
3006.12,805,773,32,390,251,72.0
3016.1,809,777,32,388,251,71.3
3026.11,802,772,30,396,250,71.9667
3036.14,806,774,32,377,250,70.2333
3046.14,804,773,31,382,249,72.5667
3056.14,804,773,31,379,249,72.6333
3066.12,805,774,31,385,250,70.6667
3076.11,805,774,31,385,250,71.7667
3086.1,803,772,31,378,250,71.5667
3096.11,806,772,34,383,250,73.6667
3106.13,805,773,32,380,250,70.6667
3116.11,809,778,31,379,252,72.7333
3126.11,803,773,30,390,250,76.8667
3136.11,805,774,31,387,250,75.8667
3146.14,803,772,31,383,250,73.7333
3156.12,805,772,33,395,250,74.0333
3166.13,805,775,30,386,250,73.0333
3176.11,803,773,30,381,250,72.7667
3186.11,804,772,32,389,250,72.4
3196.11,805,772,33,384,250,71.2333
3206.11,805,772,33,385,249,74.4333
3216.13,805,774,31,383,250,72.7
3226.12,805,773,32,385,250,70.8333
3236.11,806,774,32,375,250,70.2667
3246.13,806,773,33,387,249,72.6
3256.12,804,767,37,378,248,72.5667
3266.13,805,772,33,377,250,73.5
3276.11,803,773,30,365,250,72.7333
3286.11,809,777,32,388,251,72.6
3296.12,804,772,32,379,250,73.1667
3306.11,805,773,32,391,250,72.2333
3316.11,803,771,32,388,249,71.9
3326.11,804,771,33,370,250,72.6
3336.11,805,773,32,387,250,74.0667
3346.13,811,774,37,371,250,72.3
3356.11,803,772,31,374,250,72.4333
3366.12,805,773,32,387,250,71.6667
3376.13,804,773,31,379,249,70.9333
3386.12,809,777,32,386,251,73.3333
3396.12,804,772,32,376,250,75.3333
3406.11,805,775,30,379,250,71.0667
3416.11,806,768,38,377,249,73.3667
3426.1,807,773,34,376,250,75.8
3436.11,805,774,31,378,252,73.1667
3446.12,806,774,32,376,250,73.3667
3456.11,804,772,32,397,249,71.7667
3466.12,803,772,31,383,250,71.7
3476.11,804,773,31,382,250,72.3333
3486.13,805,772,33,387,250,72.8
3496.11,804,772,32,383,250,70.7333
3506.13,805,774,31,392,252,72.8333
3516.11,805,774,31,386,250,71.5333
3526.11,803,767,36,391,248,73.9333
3536.11,805,772,33,367,250,72.7667
3546.11,805,773,32,387,250,72.7333
3556.12,809,778,31,379,251,73.0333
3566.1,804,772,32,388,250,74.4
