1281696
1281696
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
6026 , 273 , 0.13 , 0.14
6052 , 272 , 0.17 , 0.14
6079 , 272 , 0.13 , 0.14
6107 , 271 , 0.13 , 0.14
6133 , 271 , 0.13 , 0.14
6161 , 270 , 0.13 , 0.14
6188 , 270 , 0.13 , 0.14
6214 , 270 , 0.13 , 0.14
6242 , 269 , 0.13 , 0.14
6268 , 269 , 0.13 , 0.14
6296 , 268 , 0.13 , 0.14
6323 , 268 , 0.13 , 0.14
6349 , 268 , 0.13 , 0.14
6377 , 267 , 0.17 , 0.14
6404 , 267 , 0.13 , 0.14
6431 , 267 , 0.13 , 0.14
6458 , 266 , 0.13 , 0.14
6486 , 266 , 0.13 , 0.14
6512 , 266 , 0.13 , 0.14
6539 , 265 , 0.17 , 0.14
6566 , 265 , 0.13 , 0.14
6593 , 264 , 0.17 , 0.14
6621 , 264 , 0.17 , 0.14
6647 , 264 , 0.13 , 0.14
6674 , 263 , 0.13 , 0.14
6702 , 263 , 0.13 , 0.14
6728 , 263 , 0.17 , 0.14
6756 , 262 , 0.13 , 0.14
6782 , 262 , 0.17 , 0.14
6809 , 262 , 0.13 , 0.14
6837 , 262 , 0.13 , 0.14
6863 , 261 , 0.13 , 0.14
6891 , 261 , 0.13 , 0.14
6918 , 260 , 0.13 , 0.14
6944 , 260 , 0.13 , 0.14
6972 , 260 , 0.13 , 0.14
6999 , 260 , 5.17 , 0.19
7026 , 259 , 6.20 , 0.25
7053 , 259 , 6.53 , 0.31
7079 , 259 , 6.17 , 0.37
7107 , 258 , 7.93 , 0.45
7134 , 258 , 10.97 , 0.56
7162 , 258 , 14.60 , 0.70
7190 , 257 , 18.03 , 0.88
7218 , 257 , 20.87 , 1.09
7246 , 257 , 22.97 , 1.32
7274 , 257 , 24.53 , 1.56
7303 , 257 , 25.50 , 1.82
7330 , 257 , 25.13 , 2.07
7359 , 257 , 25.03 , 2.31
7387 , 257 , 25.70 , 2.57
7414 , 256 , 26.53 , 2.83
7443 , 256 , 26.83 , 3.10
7471 , 256 , 26.83 , 3.37
7499 , 255 , 27.33 , 3.64
7527 , 255 , 27.87 , 3.92
7556 , 255 , 28.23 , 4.20
7583 , 255 , 28.20 , 4.48
7611 , 254 , 28.97 , 4.77
7640 , 254 , 29.93 , 5.07
7667 , 254 , 30.23 , 5.37
7696 , 254 , 30.50 , 5.67
7724 , 253 , 30.07 , 5.97
7752 , 253 , 29.60 , 6.26
7780 , 253 , 29.20 , 6.55
7808 , 253 , 29.67 , 6.85
7836 , 252 , 30.47 , 7.15
7864 , 252 , 30.37 , 7.46
7892 , 252 , 30.37 , 7.76
7920 , 252 , 30.13 , 8.06
7949 , 252 , 29.37 , 8.35
7976 , 251 , 29.33 , 8.64
8004 , 251 , 29.87 , 8.94
8033 , 251 , 29.70 , 9.24
8060 , 251 , 29.30 , 9.53
8089 , 250 , 29.30 , 9.82
8117 , 251 , 29.70 , 10.11
8146 , 250 , 29.60 , 10.41
8175 , 250 , 29.40 , 10.70
8204 , 250 , 29.50 , 11.00
8233 , 250 , 29.70 , 11.29
8262 , 250 , 29.47 , 11.58
8292 , 249 , 29.57 , 11.88
8321 , 249 , 29.67 , 12.17
8350 , 249 , 29.63 , 12.47
8379 , 249 , 29.70 , 12.76
8408 , 249 , 29.43 , 13.06
8437 , 249 , 29.77 , 13.35
8466 , 249 , 29.57 , 13.65
8496 , 249 , 29.50 , 13.94
8524 , 248 , 30.03 , 14.24
8554 , 248 , 29.43 , 14.53
8583 , 248 , 29.43 , 14.83
8611 , 248 , 29.53 , 15.12
8641 , 248 , 30.13 , 15.42
8670 , 248 , 29.63 , 15.72
8699 , 248 , 29.30 , 16.01
8728 , 247 , 29.67 , 16.30
8758 , 247 , 29.60 , 16.60
8786 , 247 , 29.93 , 16.89
8816 , 247 , 29.57 , 17.19
8845 , 247 , 29.70 , 17.48
