pres	temp	vfr	mfr	comp
31.12	25.43	0.0211	0.0445	Air
31.13	25.43	0.0211	0.0445	Air
31.12	25.43	0.0211	0.0446	Air
31.12	25.43	0.0212	0.0448	Air
31.12	25.43	0.0212	0.0448	Air
31.12	25.43	0.0212	0.0448	Air
31.12	25.43	0.0212	0.0449	Air
31.12	25.43	0.0213	0.0449	Air
31.12	25.43	0.0215	0.0455	Air
31.12	25.43	0.0218	0.0461	Air
31.12	25.43	0.0221	0.0468	Air
31.12	25.43	0.0224	0.0473	Air
31.12	25.43	0.0225	0.0477	Air
31.12	25.43	0.0226	0.0477	Air
31.11	25.43	0.0227	0.0479	Air
31.12	25.43	0.0227	0.0479	Air
31.11	25.43	0.0227	0.0479	Air
31.11	25.43	0.0227	0.0479	Air
31.11	25.43	0.0227	0.0479	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.0481	Air
31.11	25.43	0.0227	0.0481	Air
31.11	25.43	0.0227	0.048	Air
31.11	25.43	0.0227	0.0481	Air
31.11	25.43	0.0227	0.0481	Air
31.11	25.43	0.0227	0.0481	Air
31.11	25.43	0.0228	0.0481	Air
31.1	25.43	0.0228	0.0481	Air
31.1	25.43	0.0228	0.0481	Air
31.1	25.43	0.0228	0.0481	Air
31.1	25.43	0.0228	0.0482	Air
31.1	25.43	0.0228	0.0481	Air
31.1	25.43	0.0228	0.0482	Air
31.1	25.43	0.0228	0.0482	Air
31.1	25.43	0.0228	0.0482	Air
31.1	25.43	0.0224	0.0473	Air
31.1	25.43	0.0227	0.0479	Air
31.1	25.43	0.0231	0.0489	Air
31.1	25.43	0.0232	0.049	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0493	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0233	0.0492	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0233	0.0492	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.09	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0233	0.0492	Air
31.1	25.43	0.0232	0.0491	Air
31.09	25.43	0.0234	0.0494	Air
31.09	25.43	0.0236	0.0498	Air
31.09	25.43	0.0251	0.053	Air
31.09	25.43	0.0254	0.0537	Air
31.09	25.43	0.0255	0.0539	Air
31.09	25.43	0.0255	0.0538	Air
31.09	25.43	0.0255	0.0539	Air
31.09	25.43	0.0255	0.0539	Air
31.09	25.43	0.0255	0.054	Air
31.09	25.43	0.0255	0.054	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0256	0.054	Air
31.08	25.43	0.0255	0.054	Air
31.08	25.43	0.0256	0.054	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.054	Air
31.08	25.43	0.0256	0.054	Air
31.08	25.43	0.0256	0.054	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0537	Air
31.08	25.43	0.0254	0.0537	Air
31.08	25.43	0.0255	0.0537	Air
31.08	25.43	0.0254	0.0537	Air
31.08	25.43	0.0255	0.0538	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0252	0.0532	Air
31.08	25.43	0.0252	0.0532	Air
31.08	25.43	0.0252	0.0532	Air
31.08	25.43	0.0252	0.0532	Air
31.08	25.43	0.0252	0.0531	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.025	0.0529	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.025	0.0528	Air
31.08	25.43	0.0249	0.0525	Air
31.08	25.43	0.0249	0.0525	Air
31.08	25.43	0.0249	0.0526	Air
31.08	25.43	0.0249	0.0526	Air
31.08	25.43	0.0248	0.0525	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0247	0.0522	Air
31.08	25.43	0.0246	0.0521	Air
31.08	25.43	0.0246	0.0521	Air
31.08	25.43	0.0246	0.0521	Air
31.08	25.43	0.0246	0.0521	Air
31.08	25.43	0.0246	0.0519	Air
31.08	25.43	0.0246	0.0519	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0246	0.0519	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0245	0.0518	Air
31.08	25.43	0.0244	0.0516	Air
31.08	25.43	0.0244	0.0516	Air
