 pres temp vfr mfr    comp
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 -0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
 +031.41 +025.02 +0.0000 +0.0000    Air
