header,,,,,,,
data_begin,,,,,,,
time_ms,desired_flowrate,avgd_flowrate,error,kp,control_effort,current_pos,new_goal_pos
5561,0.05,0,0.05,350,-17,0,-17
5875,0.05,0,0.05,350,-17,-17,-34
6182,0.05,0,0.05,350,-17,-34,-51
6490,0.05,0,0.05,350,-17,-51,-68
6797,0.05,0,0.05,350,-17,-68,-85
7104,0.05,0,0.05,350,-17,-85,-102
7411,0.05,0,0.05,350,-16,-102,-118
7682,0.05,0,0.05,350,-15,-118,-133
7971,0.05,0.01,0.04,350,-14,-133,-147
8222,0.05,0.02,0.03,350,-11,-147,-158
8468,0.05,0.02,0.03,350,-10,-158,-168
8673,0.05,0.03,0.02,350,-7,-168,-175
8863,0.05,0.04,0.01,350,-4,-175,-179
8980,0.05,0.04,0.01,350,-2,-179,-181
9056,0.05,0.04,0.01,350,-1,-181,-182
9108,0.05,0.05,0,350,-1,-182,-183
9160,0.05,0.05,0,350,0,-183,-183
9211,0.05,0.05,0,350,0,-183,-183
9264,0.05,0.05,0,350,0,-183,-183
9317,0.05,0.05,0,350,0,-183,-183
9373,0.05,0.05,0,350,0,-183,-183
9430,0.05,0.05,0,350,0,-183,-183
9486,0.05,0.05,0,350,0,-183,-183
9542,0.05,0.05,0,350,0,-183,-183
9597,0.05,0.05,0,350,0,-183,-183
9654,0.05,0.05,0,350,0,-183,-183
9710,0.05,0.05,0,350,0,-183,-183
9766,0.05,0.05,0,350,0,-183,-183
9823,0.05,0.05,0,350,0,-183,-183
9879,0.05,0.05,0,350,0,-183,-183
9934,0.05,0.05,0,350,0,-183,-183
