"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
2115.63,828,780,48,42,253,-0.0333
2128.49,831,784,47,42,253,0.0
2141.0,827,780,47,42,252,0.0
2153.64,827,780,47,42,251,0.0
2169.77,828,779,49,42,253,0.0
2182.31,828,780,48,42,252,0.0
2196.0,831,783,48,42,253,0.0
2208.62,828,780,48,42,253,0.0
2221.55,831,783,48,41,253,0.0
2234.03,828,779,49,42,252,0.0
2247.16,831,788,43,41,253,0.0
2259.58,830,784,46,41,254,0.0
2271.93,827,780,47,42,252,-0.0333
2285.21,827,781,46,42,254,0.0
2297.86,828,780,48,42,253,0.0
2310.51,831,784,47,42,253,0.0
2322.97,827,781,46,42,252,0.0
2335.37,828,779,49,42,251,0.0
2348.89,831,784,47,42,253,0.0
2361.46,828,779,49,42,253,0.0
2374.03,827,779,48,43,252,0.0
2387.37,826,780,46,42,252,0.0
2399.88,827,776,51,42,252,0.0
2412.77,828,777,51,43,252,0.0
2426.67,827,779,48,42,252,0.0
2440.2,830,783,47,42,254,0.0
2452.93,827,776,51,42,252,0.0
2468.45,823,775,48,41,252,0.0
2483.51,829,783,46,43,253,0.0
2496.0,830,780,50,42,253,0.0
2508.47,824,780,44,42,253,0.0
2520.74,825,781,44,42,252,0.0
2532.72,821,777,44,42,252,-0.0333
2544.7,826,780,46,42,253,0.0
2557.03,824,780,44,42,253,0.0
2568.91,824,780,44,42,253,0.0
2581.01,826,780,46,41,253,0.0
2592.84,821,776,45,42,252,0.0
2604.73,823,776,47,42,253,0.0
2617.01,824,780,44,42,253,0.0
2629.04,826,781,45,42,252,0.0
2641.25,825,780,45,42,253,0.0
2653.33,826,781,45,41,253,0.0
2665.24,820,777,43,42,251,0.0
2677.17,822,778,44,41,251,0.0
2689.23,825,780,45,42,253,0.0
2701.07,820,778,42,41,251,0.0
2714.13,824,781,43,42,253,0.0
2725.97,826,782,44,41,253,0.0
2738.01,823,776,47,41,252,-0.0333
2750.27,825,782,43,42,253,0.0
2763.31,825,782,43,42,253,0.0
2776.63,824,780,44,42,253,0.0
2788.97,823,782,41,43,252,0.0
2800.85,823,781,42,42,253,0.0
2812.9,826,781,45,41,253,0.0
2824.78,824,780,44,41,253,0.0
2836.54,821,778,43,41,252,0.0
2849.6,824,781,43,41,253,0.0
2861.53,826,781,45,42,253,0.0
2873.66,821,778,43,41,252,0.0
2885.91,824,782,42,41,253,0.0
2897.82,820,776,44,42,252,0.0
2909.81,822,775,47,41,252,0.0
2922.64,826,782,44,42,253,0.0
2934.49,821,775,46,41,252,0.0
2946.74,825,781,44,41,252,0.0
2958.56,826,782,44,43,252,0.0
2970.25,820,776,44,42,251,0.0
2982.8,825,780,45,42,253,0.0
2994.63,826,781,45,42,253,0.0
3006.41,821,777,44,42,252,0.0
3019.3,826,781,45,42,253,0.0
3031.22,825,782,43,40,252,0.0
3042.92,822,778,44,41,251,0.0
3055.77,825,781,44,41,253,0.0
3067.62,820,776,44,41,251,0.0
3079.67,819,775,44,41,252,0.0
3092.1,825,781,44,41,253,0.0
3103.98,820,777,43,41,252,0.0
3115.99,823,782,41,41,253,0.0
3127.91,819,775,44,42,251,0.0
3139.89,819,778,41,42,252,0.0
3152.59,825,782,43,42,254,0.0
3164.76,826,782,44,41,254,0.0
3176.52,821,777,44,41,252,0.0
3188.91,825,781,44,42,253,0.0
3200.8,819,773,46,41,253,0.0
3213.04,830,780,50,42,252,0.0
3225.98,829,778,51,41,252,0.0
3238.66,827,782,45,42,253,0.0
3251.33,829,779,50,41,252,0.0
3265.71,824,777,47,42,253,0.0
3278.38,830,779,51,42,253,0.0
3291.33,832,784,48,41,254,0.0
3303.87,832,783,49,41,253,0.0
3316.61,827,781,46,42,252,0.0
3329.77,829,783,46,42,254,0.0
3342.16,827,780,47,42,252,0.0
3354.56,828,781,47,42,253,0.0
3368.04,828,784,44,41,253,0.0
3380.64,827,780,47,41,253,0.0
3393.13,830,783,47,42,253,0.0
3406.07,833,784,49,42,253,0.0
3418.61,828,780,48,42,253,0.0
3432.07,833,782,51,42,254,0.0
3444.52,829,781,48,42,253,0.0
3457.11,828,780,48,42,253,0.0
3470.55,833,782,51,42,254,0.0
3483.07,829,780,49,42,253,0.0
3495.71,827,780,47,42,253,0.0
3509.41,833,784,49,42,254,-0.0333
3521.98,830,780,50,42,253,0.0
