time_ms,temp_0,temp_1,temp_0-1,diff_p,abs_p,sfm3300
0.64,819,775,44,42,251,0.0
12.84,824,780,44,42,252,0.0
24.69,824,780,44,41,252,0.0
36.4,822,780,42,41,253,0.0
48.59,820,775,45,43,251,0.0
61.74,820,776,44,41,251,0.0
74.55,824,780,44,42,253,0.0
86.4,824,777,47,41,251,0.0
98.21,819,775,44,42,251,0.0
110.21,824,773,51,41,250,0.0
122.57,820,777,43,41,251,0.0
135.0,825,780,45,42,253,0.0
146.81,821,779,42,40,253,0.0
158.57,824,780,44,42,253,0.0
170.5,823,780,43,41,253,0.0
182.2,820,776,44,42,252,0.0
194.17,824,780,44,43,253,0.0
206.05,824,781,43,41,252,0.0
217.74,820,775,45,41,251,0.0
230.64,823,780,43,42,253,0.0
242.46,820,774,46,42,251,0.0
254.34,821,780,41,41,251,0.0
266.19,824,781,43,41,253,0.0
277.88,818,776,42,42,251,0.0
290.63,823,780,43,41,253,0.0
302.47,824,780,44,41,252,0.0
315.13,821,776,45,41,249,0.0
328.52,824,780,44,42,253,0.0
340.51,820,776,44,42,251,0.0
353.54,824,780,44,42,253,0.0
365.45,819,776,43,42,251,0.0
377.44,825,780,45,42,253,0.0
389.94,824,780,44,42,253,0.0
401.65,820,776,44,42,251,0.0
414.82,823,781,42,41,253,0.0
426.71,819,776,43,41,252,0.0
438.86,824,780,44,42,253,0.0
451.04,824,781,43,42,253,0.0
462.83,820,775,45,42,251,-0.0333
475.5,822,780,42,41,253,0.0
487.4,824,780,44,42,253,0.0
500.83,818,773,45,42,251,0.0
513.96,824,780,44,41,253,0.0
525.91,814,772,42,43,252,0.0
539.08,824,781,43,42,253,0.0
550.95,824,780,44,42,253,0.0
567.4,831,783,48,42,253,0.0
579.87,831,782,49,42,253,0.0
592.21,825,779,46,42,252,0.0
605.61,829,782,47,42,253,0.0
618.1,826,779,47,42,252,0.0
630.72,830,782,48,42,253,0.0
643.23,827,778,49,42,253,0.0
655.52,827,779,48,42,252,0.0
668.49,829,778,51,42,255,0.0
680.94,827,779,48,42,253,0.0
693.56,830,782,48,42,254,0.0
706.03,827,779,48,41,251,0.0
718.43,827,779,48,41,252,0.0
731.21,830,782,48,41,253,0.0
743.67,827,779,48,42,252,0.0
756.31,829,782,47,41,253,0.0
768.85,827,779,48,41,253,0.0
781.26,827,778,49,41,252,0.0
794.16,832,782,50,43,252,0.0
806.65,827,776,51,42,252,0.0
819.69,829,782,47,42,254,0.0
832.11,827,780,47,43,252,0.0
844.56,826,778,48,42,253,0.0
858.24,831,782,49,42,253,0.0
