"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
0.7,823,779,44,40,253,0.0
12.96,827,783,44,42,253,0.0
25.14,824,779,45,43,252,0.0
40.25,823,778,45,42,252,0.0
53.12,828,783,45,42,254,0.0
65.36,828,783,45,41,254,0.0
77.9,828,781,47,43,253,0.0
91.34,825,779,46,43,252,0.0
104.41,827,783,44,41,253,0.0
116.63,827,783,44,42,252,0.0
128.62,828,783,45,42,254,0.0
140.78,828,781,47,42,253,0.0
153.66,823,778,45,41,252,-0.0333
166.93,819,780,39,42,251,0.0
179.25,828,783,45,42,254,0.0
196.62,827,781,46,42,253,0.0
208.51,828,782,46,42,254,0.0
220.27,827,781,46,41,252,0.0
232.51,827,783,44,42,253,0.0
244.37,822,778,44,41,252,0.0
256.25,827,783,44,41,254,0.0
268.19,828,783,45,41,254,0.0
279.93,824,782,42,42,254,0.0
292.1,827,783,44,41,253,0.0
303.94,828,782,46,41,251,0.0
315.69,828,782,46,42,253,0.0
328.13,827,782,45,42,254,0.0
341.01,823,778,45,41,251,0.0
353.48,828,783,45,42,253,0.0
365.34,826,783,43,42,254,0.0
377.12,819,779,40,42,251,0.0
390.07,826,784,42,42,253,0.0
401.96,829,781,48,41,254,0.0
413.92,827,783,44,42,254,0.0
425.81,829,783,46,42,254,0.0
437.54,822,778,44,41,252,0.0
449.82,827,783,44,41,253,0.0
461.7,828,781,47,43,253,0.0
473.74,827,784,43,41,254,0.0
485.75,831,784,47,42,253,0.0
497.6,824,780,44,41,251,0.0
510.6,828,783,45,41,253,0.0
522.46,822,781,41,42,251,0.0
534.42,823,778,45,41,253,0.0
546.86,823,783,40,42,254,0.0
558.62,831,779,52,42,252,0.0
571.54,827,783,44,43,253,0.0
583.4,828,782,46,42,254,0.0
595.26,822,776,46,42,251,0.0
607.91,827,783,44,43,253,0.0
619.66,821,777,44,42,252,0.0
631.92,826,783,43,42,253,0.0
643.8,828,782,46,43,253,0.0
655.54,822,776,46,42,251,0.0
667.87,826,783,43,43,254,0.0
679.78,827,782,45,43,253,0.0
691.72,827,782,45,41,253,0.0
703.59,828,781,47,42,252,0.0
715.42,822,778,44,42,252,0.0
728.08,827,782,45,43,253,0.0
739.99,823,778,45,41,252,-0.0333
752.06,824,777,47,41,252,0.0
764.11,827,782,45,41,253,0.0
776.55,821,779,42,42,252,0.0
789.62,828,783,45,42,253,0.0
805.27,823,775,48,42,251,0.0
818.25,827,782,45,42,253,0.0
830.21,817,775,42,41,251,0.0
842.41,821,774,47,42,251,0.0
855.52,826,782,44,42,253,0.0
867.47,816,774,42,41,251,0.0
880.19,821,778,43,42,252,0.0
892.23,824,778,46,41,252,0.0
904.15,820,778,42,43,253,0.0
917.32,815,768,47,41,249,0.0
931.69,816,772,44,43,249,0.0
944.98,824,779,45,41,251,0.0
957.13,825,782,43,42,254,0.0
969.13,819,775,44,41,251,-0.0333
982.39,819,777,42,42,251,0.0
996.63,821,777,44,42,252,0.0
1009.03,825,784,41,41,254,0.0
1021.05,831,780,51,42,253,0.0
1033.77,828,780,48,42,252,0.0
1047.39,829,781,48,42,252,0.0
1060.14,830,781,49,42,252,0.0
1073.66,830,777,53,42,253,0.0
1086.43,829,783,46,42,254,0.0
1099.24,829,780,49,42,254,0.0
1112.0,831,780,51,42,253,0.0
1124.92,822,776,46,42,252,0.0
1137.31,825,782,43,42,253,0.0
1149.27,826,781,45,42,253,0.0
1161.35,824,783,41,41,254,0.0
1173.2,827,781,46,41,252,0.0
1184.9,823,781,42,42,253,-0.0333
1197.36,822,779,43,41,253,0.0
1209.37,826,782,44,43,253,0.0
1221.46,826,783,43,42,253,0.0
1233.36,825,782,43,42,253,0.0
1245.35,827,782,45,41,253,-0.0333
1257.5,827,783,44,41,253,0.0
1269.4,821,777,44,41,251,0.0
1281.34,826,782,44,42,253,0.0
1293.23,827,780,47,41,253,0.0
1304.93,827,777,50,43,253,0.0
1317.07,823,778,45,42,252,0.0
1329.06,819,775,44,42,251,0.0
1341.28,822,776,46,42,252,0.0
1353.84,822,778,44,41,252,0.0
1365.9,820,775,45,41,250,0.0
1378.24,826,782,44,41,253,0.0
1390.51,822,777,45,42,252,0.0
1402.73,823,782,41,42,253,0.0
1414.65,826,780,46,42,253,0.0
1426.97,827,777,50,42,252,0.0
1438.92,826,782,44,42,252,0.0
1451.18,826,783,43,42,253,0.0
1463.07,826,781,45,42,253,0.0
1475.24,827,781,46,41,253,0.0
1487.22,827,782,45,42,253,0.0
1499.11,820,778,42,42,252,0.0
1511.25,826,782,44,42,253,0.0
1523.13,821,777,44,41,252,0.0
1535.04,826,777,49,43,253,0.0
1547.1,823,778,45,42,254,0.0
1559.1,828,781,47,42,253,0.0
1571.37,828,782,46,41,253,0.0
1583.28,822,776,46,41,252,0.0
1595.31,825,781,44,41,253,0.0
1607.5,825,783,42,42,254,0.0
1619.41,824,777,47,41,252,0.0
1631.38,828,782,46,42,253,0.0
1643.3,826,782,44,42,253,0.0
1655.2,827,780,47,42,252,0.0
1667.44,823,777,46,42,252,0.0
1679.41,823,777,46,42,252,0.0
1691.35,826,783,43,42,253,0.0
1703.2,825,781,44,41,253,0.0
1714.91,822,776,46,42,253,0.0
1727.58,827,781,46,42,255,0.0
1739.46,827,781,46,42,252,0.0
1754.28,827,782,45,41,254,0.0
1766.16,823,778,45,41,252,0.0
1778.19,827,782,45,42,252,0.0
1790.43,826,783,43,41,253,0.0
1802.33,827,782,45,43,251,0.0
1814.46,823,778,45,42,252,0.0
1826.81,834,782,52,42,254,0.0
1839.26,830,781,49,42,253,0.0
1851.82,830,783,47,42,254,0.0
1864.7,834,782,52,41,254,0.0
1877.46,832,780,52,41,253,0.0333
1890.15,831,784,47,42,254,0.0
1902.84,830,781,49,42,253,0.0
1915.6,831,780,51,43,253,0.0
1928.65,832,783,49,43,253,0.0
1940.99,828,779,49,42,252,0.0
1953.71,831,784,47,42,254,0.0
1966.1,828,780,48,41,254,0.0
1978.42,828,777,51,42,253,0.0
1991.99,831,784,47,42,254,0.0
2004.58,829,779,50,42,253,0.0
2017.9,831,783,48,42,254,0.0
2030.26,833,784,49,41,253,0.0
2042.94,834,780,54,42,253,0.0
2056.01,832,783,49,43,253,0.0
2068.68,829,779,50,42,252,0.0
2082.38,832,782,50,41,254,0.0
2094.94,832,783,49,41,254,0.0
2107.61,829,781,48,42,252,0.0
2121.13,831,782,49,42,254,0.0
2133.75,824,776,48,42,251,0.0
2147.0,828,784,44,42,254,0.0
2159.52,831,783,48,41,252,0.0
2171.97,830,782,48,42,253,0.0
2184.37,831,784,47,42,254,0.0
2196.89,828,777,51,42,251,0.0
2210.42,832,782,50,44,254,0.0
2222.81,832,782,50,42,254,0.0
2235.35,831,783,48,42,253,-0.0333
2247.95,828,780,48,42,252,0.0
2261.01,829,779,50,42,253,0.0
2275.23,831,782,49,41,254,0.0
2287.61,831,783,48,42,253,0.0
2301.36,829,780,49,42,253,0.0
2314.29,831,783,48,41,253,0.0
2326.68,829,780,49,42,252,-0.0333
2339.19,829,780,49,41,252,0.0
2352.71,834,785,49,42,254,-0.0333
2365.33,829,781,48,43,253,0.0
2379.25,833,783,50,42,254,0.0333
2392.84,829,781,48,42,252,0.0
2405.64,829,780,49,42,252,0.0
2419.28,833,783,50,42,254,0.0
2433.12,830,779,51,41,253,0.0
2447.45,831,784,47,42,254,0.0
2460.03,829,780,49,42,253,0.0
2473.26,833,783,50,42,254,0.0
2485.77,829,782,47,41,253,0.0
2498.61,828,780,48,42,252,0.0
2511.99,834,783,51,42,255,0.0
2524.5,830,780,50,43,253,0.0
2537.9,831,783,48,42,254,0.0
2550.19,825,778,47,42,252,0.0
2562.85,828,779,49,43,252,0.0
2576.2,826,776,50,43,251,0.0
2588.81,825,778,47,42,252,0.0
2601.99,828,780,48,42,252,0.0
2614.92,825,778,47,42,251,0.0
2628.66,827,779,48,40,252,0.0
2641.14,824,777,47,41,251,0.0
2653.87,827,777,50,41,252,0.0
2667.16,829,780,49,42,253,0.0
2679.73,824,778,46,43,252,0.0
2693.18,827,778,49,41,251,0.0
2706.58,824,775,49,41,251,0.0
2720.02,828,780,48,42,253,0.0
2732.78,825,774,51,42,251,0.0
2745.84,819,778,41,42,251,0.0
2759.04,823,779,44,41,251,0.0
2771.23,822,778,44,42,252,0.0
2783.92,823,777,46,42,252,0.0
2795.95,819,775,44,42,251,0.0
2808.2,820,773,47,42,252,0.0
2820.92,822,776,46,41,252,0.0
2833.48,820,773,47,43,251,0.0
2846.37,827,782,45,41,253,0.0
2858.3,824,779,45,42,251,0.0
2870.3,821,778,43,41,250,0.0
2882.46,823,777,46,41,251,0.0
2894.37,821,778,43,42,252,0.0
2907.29,828,783,45,41,253,0.0
2919.14,823,777,46,42,252,0.0
2931.15,821,773,48,43,251,0.0
2944.01,829,782,47,41,254,0.0
2955.85,818,774,44,42,251,0.0
2968.76,825,783,42,41,253,0.0
2980.62,823,777,46,41,252,0.0333
2992.62,820,777,43,42,251,0.0
3005.24,823,777,46,42,252,0.0
3017.21,822,778,44,42,252,0.0
3029.79,823,779,44,41,252,0.0
3041.67,825,779,46,41,252,0.0
3053.59,822,778,44,42,252,0.0
3066.5,827,781,46,42,253,0.0
3078.33,823,777,46,42,252,0.0
3090.64,826,782,44,43,254,-0.0333
3102.48,825,782,43,43,254,0.0333
3114.19,821,772,49,40,249,0.0
3126.71,825,783,42,42,253,0.0
3138.54,823,776,47,40,252,0.0
3150.42,828,784,44,42,253,0.0
3162.24,825,781,44,41,254,0.0
3173.91,823,779,44,43,252,0.0
3186.88,824,783,41,41,254,0.0
3198.88,824,778,46,41,252,0.0
3210.83,822,777,45,43,251,0.0
3223.95,826,783,43,41,253,0.0
3235.92,822,779,43,44,251,0.0
3248.9,827,782,45,40,253,0.0
